phi0,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,P_IFM,P_bomb,eta,N,nsamples
6.037702732288443,2.6868660352517932,4.0160707432682905,3.400603878120137,1.6406257811575706,2.838703527312788,3.7572426623721347,5.814993079036288,2.520136850258937,0.00219,0.644375,0.0033871304509214078,20,200000
5.209982567922566,1.3004370904968945,0.12492292363748671,5.144196066681766,5.797854582421178,3.8564182207866136,4.9219241606689605,4.045236828352499,5.467844305181054,0.00697,0.676285,0.010201169402346121,20,200000
3.936046633297875,0.14962422538057676,0.9796743760238509,5.4804293614496515,0.945372586963143,5.04944260089404,0.5879014460220614,5.665346755269963,2.6259439245012195,0.005865,0.654485,0.008881653668509125,20,200000
0.19323789201960162,3.1200699378884615,4.394624664974676,4.877950844640934,5.698485124664452,4.9172884316937715,4.683006252453805,4.274574926452534,1.3214165260685826,0.002175,0.659785,0.003285697020968034,20,200000
0.905182343582735,0.023388397319100238,3.205685321860632,5.838320919337084,0.5409066876296101,6.209540751940169,5.087894423271448,5.425048699740638,4.186383268720072,0.00494,0.63281,0.0077459819678557425,20,200000
3.7860238696163653,4.651950011880199,1.0675424534621356,3.709414375052042,1.0007590672005984,5.384478515703215,2.271366763289132,1.6706761634347502,0.5910717897377116,0.004075,0.638075,0.006345869345168574,20,200000
0.014372880402011274,1.5902944483179238,4.517944480124972,1.4998046440887456,2.020247220596114,1.23035218977548,2.8824654962953207,5.7226745123785525,3.8737918003904785,0.0056,0.639715,0.008677932482586023,20,200000
0.5790175968286204,5.069638178561083,2.9686899655639034,1.597733251023231,3.7714676675627605,0.10020049018534104,0.6998598703576798,4.991060972775638,3.5239075071652683,0.001415,0.65668,0.0021501454957111054,20,200000
5.259182365304517,1.3177675308678638,3.3237007819600586,5.093968628155284,3.555183783807045,1.168535566643678,3.887315369525372,4.001681401040423,1.5172888631821615,0.003015,0.65755,0.004564274522567802,20,200000
4.549526038778393,3.0378691070939188,3.318008326449174,4.074335424057089,5.473493159237139,5.7981750561150855,4.546970510575744,5.556371805360582,2.778623960951538,0.004075,0.661255,0.006124780184269459,20,200000
5.062559694730482,4.805221006738173,0.9265079733602813,1.5185229036559384,5.158522418215852,0.5864888854246558,5.5036848329887365,0.6015967215117749,0.729871689386159,0.00448,0.64733,0.006873168561390588,20,200000
